"col_1","col_2","col_3","col_4","col_5","col_6","col_7","col_8","col_9","col_10","col_11","col_12","col_13","col_14","col_15","col_16","col_17","col_18","col_19","col_20","col_21","col_22","col_23","col_24","col_25","col_26","col_27","col_28","col_29","col_30","col_31","col_32","col_33","col_34","col_35","col_36","col_37","col_38","col_39","col_40","col_41","col_42","col_43","col_44","col_45","col_46"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","A33","","DROP 1","","","","DROP 2","","","","SUMMER DROP","","","","A33 X NO ART","","","","DROP 3","","","","DROP 4","","","","DROP 5","","","","","","","","","","","",""
"","","","","","","DROP 1","1039.4099999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARD_PAYMENT","Current","44467.682719907411","COMPRA RUE PORTER","-107.2","","","","","44626.071342592593","A33: 1 SUDAPA CARA D1 (AMIGO JAIME)","32","","44516.097986111112","A33: EFECTIVO Y OTRO","187","","44730.869872685187","A33: 1 MANOS L (CHORBO)","19","","44875.726956018516","A33: 1 BALACLAVA M (Nistal), 2 SKULL ML (Juanto, Barallobre)","105","","44982.198136574072","A33: FUTBOL XL (ALEX DELCLAUX)","33","","45043.658553240741","SERIGRAFIA","-217.8","","","","0","","","","","","","","","",""
"CARD_PAYMENT","Current","44471.08625","COMPRA DORTEX","-49.01","","","","","","","1039.4099999999999","","44516.168020833335","A33: OTRO","63","","44734.159513888888","A33: 1 RUSA L (DIRECTOR)","19","","44876.765983796293","A33: 1 BALACLAVA M (GABRIEL)","35","","44994.151921296296","A33: FUTBOL XL (IAGO) REVOLUTION L (TITO)","96","","45066.870439814818","A33: 2 CREW N M (nico y juli), CAMI ML (Nico y weister)","154","","","","0","","","","","","","","","",""
"TOPUP","Current","44472.892800925925","A33: 1 SUDAPA TIRO D1 (PETER)","50","","","","","","","","","44517.233622685184","A33: SUDAPA M, CAMI MARRON M (PUIG)","78","","44734.71429398148","A33: 1 RUSA L (NACHO), RUSA XL MANOS XL (JOSE)","57","","44887.211608796293","A33: 1 BALACLAVA M (nathan)","35","","44994.156921296293","A33: REVOLUTION M (BRUNO)","63","","45067.205231481479","A33: 4 CAMI 3L 1M (FELIX, TITO, CASADO Y FORMAS)","136","","","","0","","","","","","","","","",""
"TOPUP","Current","44477.030138888891","AÑADE DINERO PARA SERIGRAFIA","178.87","","","","","","","","","44527.931747685187","A33: OTRO","78","","44736.822800925926","A33: 1 RUSA L Y XL (CASADO Y BARALLOBRE), MANOS L Y XL (IAGO Y BARALLOBRE)","76","","44899.091944444444","A33: 2 BALACLAVA M y L (Zorrila y Dani cris arte)","70","","45043.264085648145","A33: 2 REVOLUTION M Y L (JORDI Y PETER)","123","","45067.211840277778","A33: 2 CAMI L(PUPI y rubini) y SUDAPA M L (RUBAS)","112","","","","0","","","","","","","","","",""
"TRANSFER","Current","44477.035613425927","SERIGRAFIA","-246.24","","","","","","","","","44536.09746527778","A33: SUDAPA M (FORMARIZ)","49","","44743.054189814815","System.Xml.XmlElement","19","","44938.720011574071","A33: 1 BALACLAVA L (JAIME), SKULL M (JAIME)","70","","45063.180439814816","A33: 1 FUTBOL L (SAMUEL)","30","","45079.026655092595","A33: 2 CAMI L(MONICA Y CAMA) y SUDAPA M M (ANNA)","112.01","","","","0","","","","","","","","","",""
"TOPUP","Current","44502.812013888892","APPLE PAY","40","","","","","","","","","44537.172812500001","A33: SUDAPA L (STRIPE)","52.7","","44783.0859837963","System.Xml.XmlElement","38","","44994.156921296293","A33: 1 BALACLAVA M (BRUNO)","35","","45101.156226851854","A33: 1 FUTBOL L (VICTOR)","33","","45091.817326388889","A33: 2 CAMI XL(MUÑOZ) y SUDAPA N M (CHIARRI)","78.12","","","","0","","","","","","","","","",""
"CARD_PAYMENT","Current","44503.724421296298","COMPRA PEGATINAS","-26.33","","","","","","","","","44540.680567129632","A33: CAMI MARRON L (MUÑOZ)","29","","44783.285405092596","System.Xml.XmlElement","19","","45041.089918981481","A33: 1 BALACLAVA L (BARALLOBRE)","25","","45105.730752314812","A33: 1 FUTBOL L (VINTED)","33","","45098.101701388892","A33: CAMI L (QUINTANA)","34","","","","0","","","","","","","","","",""
"TOPUP","Current","44514.178935185184","A33: CAMI TIRO L Y CAMI PIVA L (DOMINGEZ)","63","","","","","","","","","44545.051365740743","A33: SUDAPA L (STRIPE)","54.3","","","","282.83","","","","39.219999999999914","","45251","A33: FUTBOL XL (VINTED)","26","","45101.156226851854","A33: SUDAPA N M (luisan)","44","","","","0","","","","","","","","","",""
"TOPUP","Current","44515.679525462961","A33: CAMI TIRO M (PETER)","34.369999999999997","","","","","","","","","44548.91474537037","A33: CAMI TIRO L (RODRI)","34","","","","","","","","","","","","0","","45105.730752314812","A33: CAMI L (JUANMA)","30","","","","0","","","","","","","","","",""
"TOPUP","Current","44516.097986111112","A33: EFECTIVO Y OTRO","187","","","","","","","","","44549.114918981482","A33: 1 SUDAPA OJOS L (TITO)","45","","","","","","","","","","","","0","","45133.818460648145","A33: CAMI M y XL (NACHO.P Y MARQUINA)","66","","","","0","","","","","","","","","",""
