"col_1","col_2","col_3","col_4","col_5","col_6","col_7","col_8","col_9","col_10","col_11","col_12","col_13","col_14","col_15","col_16","col_17","col_18","col_19","col_20","col_21","col_22","col_23","col_24","col_25","col_26","col_27","col_28","col_29","col_30","col_31","col_32","col_33","col_34","col_35"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DROP 1","","","","","","","","","","","","","","","","","BLANKS 1","System.Xml.XmlElement","M","L","XL","UNIDADES","EXTRA","System.Xml.XmlElement","TOTAL","","INGRESOS FINALES","PRECIO","M","L","XL","UNIDADES","TOTAL"
"25","","","","","","","","","","","","","","0","0","","","","","","","","0","0","","","","","","","","","",""
"26","","","","","","","","","","","","","","0","0","","","COSTE TOTAL","","","","","4","-95.515999999999991","","","","","","","","","",""
"27","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","",""
"28","","","","","","","","","","","","","","0","0","","","COSTE POR UND","BLANKS","SERIGRAFIA","EXTRA","TOTAL","","","","","","","","","","","",""
"29","","","","","","","","","","","","","","0","0","","","Blanco","16.989999999999998","3.63","2.4302999999999999","23.050299999999996","","","","","","","","","","","",""
"30","","","","","","","","","","","","","","0","0","","","Negro","17.989999999999998","7.26","2.4302999999999999","27.680299999999999","","","","","","","","","","","",""
"31","","","","","","","","","","","","","","0","0","","","0","0","-","","0","","","","","","","","","","","",""
"32","","","","","","","","","","","","","","0","0","","","0","0","-","","0","","","","","","","","","","","",""
"33","","","","","","","","","","","","","","0","0","","","","","","","0","","","","","","","","","","","",""
"34","","","","","","","","","","","","","","0","0","","","","","","","0","","","","","","","","","","","",""
"35","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","BENEFICIO POR UND","PRECIO","COSTE","BENEFICIO","MARGEN","","","","","","","","","","","",""
"1","0","","0","0","0","DROP 1","","","","","","","","","","","","Blanco","35","-23.050299999999996","11.949700000000004","0.34142000000000011","","","","","","","","","","","",""
"2","0","","0","0","0","DROP 1","","","","","","","","","","","","Negro","35","-27.680299999999999","7.319700000000001","0.20913428571428574","","","","","","","","","","","",""
"3","0","","0","0","0","DROP 1","","","","","","","","","","","","0","","0","0","#DIV/0!","","","","","","","","","","","",""
"4","0","","0","0","0","DROP 1","","","","","","","","","","","","0","","0","0","#DIV/0!","","","","","","","","","","","",""
"5","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","0","","0","0","0","DROP 1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
